Nome,Posicao,nationality,matches,goals
Célio Alves,Atacante,Brasil,27,10
Juan Pérez,Atacante,Argentina,12,10
Alejandro Silva,Meia Direita,Uruguai,78,9
Ezequiel Miralles,Centroavante,Argentina,25,9
Rodolfo Gamarra,Seg. Atacante,Paraguai,53,9
Wellington Paulista,Centroavante,Brasil,36,9
Sergio Aquino,Meia Central,Paraguai,107,9
Luis Carlos Ruiz,Centroavante,Colômbia,38,9
Mauro Zárate,Centroavante,Argentina,36,9
Diego Churín,Centroavante,Argentina,45,9
Carlos Lobatón,Meia Central,Perú,48,9
Miler Bolaños,Meia Ofensivo,Equador,23,9
Martín Ligüera,Meia Ofensivo,Uruguai,38,9
Ismael Sosa,Centroavante,Argentina,12,9
Teófilo Gutiérrez,Centroavante,Colômbia,36,9
Pablo Velázquez,Centroavante,Paraguai,35,9
Carlos Maldonado,Centroavante,Venezuela,34,9
Guillermo Paiva,Centroavante,Paraguai,36,9
Javier Saviola,Seg. Atacante,Argentina,27,9
Richard Morales,Centroavante,Uruguai,33,9
Juan Pablo Rodríguez,Meia Central,México,32,9
José Manuel Rey,Zagueiro,Venezuela,60,9
Juan Enrique García,Centroavante,Venezuela,31,9
Ariel Graziani,Centroavante,Equador,26,9
Euller,Centroavante,Brasil,37,9
Néstor Gorosito,Meia Ofensivo,Argentina,45,9
David Bisconti,Meia Esquerda,Argentina,15,9
Arturo García,Atacante,Bolívia,32,9
Sergio Santana,Centroavante,México,30,9
Julio dos Santos,Meia Central,Paraguai,40,9
Bruno Marioni,Ponta Esquerda,Argentina,24,9
Manuel Neira,Centroavante,Chile,33,9
Mauricio Molina,Meia Ofensivo,Colômbia,29,9
Marcelo Moreno Martins,Centroavante,Bolívia,32,9
Jersson González,Lateral Dir.,Colômbia,31,9
César Ramírez,Centroavante,Paraguai,35,9
Deyverson,Centroavante,Brasil,35,9
Nilson,Seg. Atacante,Brasil,26,9
Joãozinho,Ponta Esquerda,Brasil,27,9
Martín Cardetti,Centroavante,Argentina,17,9
Héctor Tapia,Centroavante,Chile,29,9
Nicolas Tagliani,Centroavante,Argentina,13,9
Mario Kempes,Centroavante,Argentina,19,9
Grafite,Centroavante,Brasil,32,9
José Cardozo,Centroavante,Paraguai,36,9
Humberto Suazo,Centroavante,Chile,12,9
Alex,Centroavante,Brasil,14,9
Rubén Paz,Meia Esquerda,Uruguai,31,9
Leopoldo Luque,Centroavante,Argentina,31,9
Rogelio Farías,Meio-Campo,Chile,31,9
Claudio Biaggio,Centroavante,Argentina,15,9
Patricio Rubio,Centroavante,Chile,25,9
Juan Mujica,Lateral Esq.,Uruguai,52,9
Anderson Lima,Lateral Dir.,Brasil,31,9
José Pastoriza,Meio-Campo,Argentina,27,9
Waldemar Victorino,Centroavante,Uruguai,23,9
